Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Пивной напиток «Kronenbourg» 1664 Blanc, 4.5%, 0.45 л, Россия;2.35;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/5082/01065082/norm/thumbs/01065082.n_1_1000x1000.png.jpg?1684794606;БАЛТИКА
Пиво «Denninghoffs Pilsner» светлое, 4.9%, 0.5 л, Германия;2.39;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6471/00996471/norm/thumbs/00996471.n_1_1000x1000.png.jpg?1684794606;Импорт
Пиво«HOP RIDER ALE»(светл.,неф,ж/б)0.33л;2.39;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/2080/01572080/norm/thumbs/01572080.n_1_1000x1000.png.jpg?1684794607;Импорт
Пиво «Hop Rider» Ipa, светлое нефильтрованное, 4.9%, 0.33 л, Германия;2.45;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9150/01409150/norm/thumbs/01409150.n_1_1000x1000.png.jpg?1684794606;Приватбрауереи Еикхбаум ГмбХ и Ко. КГ, Каеферталер Штрассе 17068167 Маннхеим, Германия.
Пиво «Feldschlosschen Reser» светлое, 5.3%, 0.5 л, Германия;2.69;3;18;https://img.unistore.by/UserFiles/images/catalog/Goods/8964/01408964/norm/thumbs/01408964.n_1_1000x1000.png.jpg?1684787407;ж/банка
Пиво«GILDE BLACK BEER»(тем,ж/б,5.0%)0.5л;2.69;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3836/01733836/norm/thumbs/01733836.n_1_1000x1000.png.jpg?1684765809;Импорт
Пиво«GILDE PILSENER»(свет.,ж/б,5.0%)0.5л;2.69;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/3835/01733835/norm/thumbs/01733835.n_1_1000x1000.png.jpg?1684765809;Импорт
Пиво«GILDI ORIGINAAL»(св,ж/б,4.8%)0.568л;2.69;24;24;https://img.unistore.by/UserFiles/images/catalog/Goods/9670/01639670/norm/thumbs/01639670.n_1_1000x1000.png.jpg?1684794607;Импорт
Напиток пив«BARCOCTAIL»(джин-тоник)0.45л;2.8;6;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1274/01461274/norm/thumbs/01461274.n_1_1000x1000.png.jpg?1684794607;Импорт
Пиво«STAROCESKE TRADICNI»(св,ф,ж/б)0.5л;2.8;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6524/01726524/norm/thumbs/01726524.n_1_1000x1000.png.jpg?1684794607;Импорт
Пиво «Либенброй Хель» светлое, 5.1%, 0.5 л, Германия;3.08;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/8690/01428690/norm/thumbs/01428690.n_1_1000x1000.png.jpg?1684355407;Импорт
Пиво «Bakalar Dry Hopped» светлое, 5.2%, 0.5 л, Чехия;3.16;1;24;https://img.unistore.by/UserFiles/images/catalog/Goods/8684/01428684/norm/thumbs/01428684.n_1_1000x1000.png.jpg?1684355407;ж/банка
Пиво «STELLA ARTOIS» (св,ж/б,5%) 0.5л;3.49;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/6675/01536675/norm/thumbs/01536675.n_1_1000x1000.png.jpg?1684794607;Импорт
Пиво «Пеши Крафт Апа» светлое, 5%, 0.5 л, Венгрия;4.0;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/5584/01525584/norm/thumbs/01525584.n_1_1000x1000.png.jpg?1684765809;ж/банка
Пиво «Hacker Weissbier» светлое нефильтрованное, 5.5%, 0.5 л, Германия;4.9;3;24;https://img.unistore.by/UserFiles/images/catalog/Goods/1253/01411253/norm/thumbs/01411253.n_1_1000x1000.png.jpg?1684765809;ж/банка
Пиво «Речицкое Золотистое» светлое, 4.7%, 0.45 л, Беларусь;1.6400000000000001;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/3834/01223834/norm/thumbs/01223834.n_1_1000x1000.png.jpg?1684787407;БОБРУЙСКИЙ БРОВАР
Пиво «Жигули» Барное, светлое фильтрованное, 4.9%, 0.45 л, Россия;1.75;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8168/01368168/norm/thumbs/01368168.n_1_1000x1000.png.jpg?1684794606;45 ккал/ 190 кДж
Пивной напиток «Кароль Ян Спарклинг» 5.6%, 0.44 л, Беларусь;1.79;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1733/01401733/norm/thumbs/01401733.n_1_1000x1000.png.jpg?1684794606;стекло
Пиво«АЛИВАРИЯ МИНСКОЕ ОСОБОЕ»(ст/б)0.5л;1.9;1;20;https://img.unistore.by/UserFiles/images/catalog/Goods/2377/01222377/norm/thumbs/01222377.n_1_1000x1000.png.jpg?1684794606;АЛИВАРИЯ
Пиво«ОХОТА КРЕПКОЕ ЭКСП.»(св,ст/б)0.45л;1.99;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/8378/01088378/norm/thumbs/01088378.n_1_1000x1000.png.jpg?1684765809;БОБРУЙСКИЙ БРОВАР
Пивор светлое «Лидское» Ideal Royl, 5%, 0.5 л, Беларусь;1.99;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/9054/01409054/norm/thumbs/01409054.n_1_1000x1000.png.jpg?1684765809;41.6 ккал/ 174.2 кДж
Пиво «Carlsberg» светлое пастеризованное, 5.0%, 0.5 л, Казахстан;2.12;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1385/01571385/norm/thumbs/01571385.n_1_1000x1000.png.jpg?1684765809;Пиво импорт
Пиво «Лидское» Бархатное, темное, 4.8%, 0.5 л, Беларусь;2.2;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/5189/01355189/norm/thumbs/01355189.n_1_1000x1000.png.jpg?1684765809;стекло
Пивной напиток «Пшеничное Манго» 5%, 0.44 л, Россия;2.21;6;20;https://img.unistore.by/UserFiles/images/catalog/Goods/1730/01401730/norm/thumbs/01401730.n_1_1000x1000.png.jpg?1684765809;стекло
Напиток пив«CHESTER`S»(алк.5%,виш)0.45л;2.32;0;20;https://img.unistore.by/UserFiles/images/catalog/Goods/0031/01790031/norm/thumbs/01790031.n_1_1000x1000.png.jpg?1684787408;Chester's
Напиток пив«CHESTER`S»(алк.5%,гр)0.45л;2.32;1;20;https://img.unistore.by/UserFiles/images/catalog/Goods/0030/01790030/norm/thumbs/01790030.n_1_1000x1000.png.jpg?1684787408;Chester's
Напиток пив«CHESTER`S»(алк.5%,ябл)0.45л;2.32;1;20;https://img.unistore.by/UserFiles/images/catalog/Goods/0028/01790028/norm/thumbs/01790028.n_1_1000x1000.png.jpg?1684787408;Chester's
